Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
PARTICLE SPECTROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
PARTICLE SPECTROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
PAS,Photoelectric Aerosol Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
PASS,Payload Autonomous Star Sensor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
PASSIVE IONOSPHERIC MONITOR,Passive Ionospheric Monitor (SSI/P),GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
PASSIVE OPTICAL TRACKING,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
Paz SAR-X,X Band Synthetic Aperture Radar,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CDTI,Being developed,Imaging microwave radars,Imaging radar (SAR),"High resolution X-band radar for security, land use, urban management, environmental monitoring, risk management. Different acquisition modes: Spotlight (5 x 5-10 km SSD =<1 m), Scansar (100 x 100 km, SSD <=15 m); Stripmode (strips of 30 x 30 km with SSD 3 m).",The Radar will use a frequency close to 9.65 GHz with an BW of 300 MHz.,"MW, X-Band",Resolution will move between <1 x 1 m and 6 x 18m depending on acquisition modes.,1,Swath will vary according to the acquisition mode: 5x5 km to 100 km x 100 km.,Pixel Localization: Pixel Localization: 50 cm to 8.5 m (1s) depending of the product selected.,Constrained Access,
PCASP,Passive-Cavity Aerosol Spectrometer Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
PCD,Potential Control Device,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
PCW PHEOS - Atmospheric,"Polar Highly Elliptical Orbit Science Weather, Climate & Air Quality Mission",CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CSA,Proposed,Atmospheric chemistry,High-resolution nadir-scanning IR spectrometer,Complement PCW operational numerical weather prediction. Will also collect information about atmospheric gaseous and aerosol composition to better understand transport and climate processes. .,4 non-continuous bands from 0.758 - 14.3 um at a spectral sampling of 0.25 cm-1.,"NIR, SWIR, MWIR, TIR",10 x 10 km,,Field of View is 560 x 560km. Field of Regard is 3024 x 3530 km.,Cal/Val requirements currently being developed,Open Access,NetCDF or HDF
PCW PHEOS - Solar-Terrestrial,"Polar Highly Elliptical Orbit Science, Solar-Terrestrial Mission",CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CSA,Proposed,Space environment,Space environment monitor,Combination of payloads to study the near-Earth space dominated by plasmas and to observe the electromagnetic and charged particle environments in a highly elliptical orbit. May potentially include both in-situ space weather instruments and an Auroral imager.,Dual band LBH long (160 - 175 nm) and LBH short (140 - 160 nm) for the Auroral imager. N.A. for the in-situ space weather instruments.,UV,40 km for the Auroral imager. Not applicable for the in-situ space weather instruments.,,Field of Regard for each full acquisition is the entire Earth disc. N.A. for the in-situ space weather instruments.,Cal/Val requirements currently being developed,Open Access,Not decided at this stage.
PCWMP,PCW Meteorological Payload (1 on each PCW S/C),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CSA,Proposed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Continuous high-temporal resolution measurements of atmospheric properties over the Arctic. Associated observations, using additional instruments include in situ space weather and also broadband radiometry of Earth.","Multiple bands, non-continuous, from 0.45 µm - 14.5 µm","VIS, NIR, SWIR, MWIR, TIR","Band dependent, varies from 0.5 km GSD (goal) for some of the VNIR bands to 2 km GSD for TIR bands.",500,Field of Regard for each full acquisition is the entire Earth disc,Cal/Val requirements currently being developed,Open Access,NetCDF or HDF
PEACE,Plasma Electron and Current Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
PEM,Particle Environment Monitor,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
PENETROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
PERMEAMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
PES,Photoelectron Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
PES (SSJ/3),Precipitating Electron Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Spectrometers,,,,,,,,,,,,,
PETROGRAPHIC MICROSCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
PH METERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PHA,Pulse Height Analyzer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (NASA),Being developed,Space environment,Space environment monitor,,,,,,,,,
PHASE CONTRAST MICROSCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
PHOTOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
PHOTOSYNTHESIS CHAMBER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PHOTOSYNTHETRON,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
PIEZOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PIN DIODE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
PIP,Precipitation Imaging Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
PIPE STRAIN METER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PISTON SAMPLERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
PITOT-STATIC SYSTEM,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PIXIE,Polar Ionospheric X-Ray Imaging Experiment,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
PLA,Panchromatic Linear Array,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
PLANKTON NETS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,Trawls/Nets,,,,,,,,,,,,,,
PLANT STRESS MONITOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
Plasma-Mag,Plasma-Mag,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NOAA (NASA),Being developed,Space environment,Magnetometer,Magnetometer and plasma sensor to measure solar wind properties for forecasting geomagnetic storms,,,,,,,Open Access,
PLASTIC,PLAsma and SupraThermal Ion and Composition,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
PMS,Particle Measuring System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PMS 2D-C PROBE,Particle Measuring Systems 2D-C Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PMS 2D-P PROBE,Particle Measuring Systems 2D-P Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PMS 2D-S PROBE,Particle Measuring Systems 2D-S Probe,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PMS KING PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
POAM II,Polar Ozone and Aerosol Measurement II,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
POAM III,Polar Ozone and Aerosol Measurement III,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
POLAR-EFI,Polar Electric Fields Instrument,GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
Polarimeter,Polarimeter,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NASA,Proposed,,,,,,,,,,,
POLARIMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,,,,,,,,,,,,,,
POLDER-1,Polarization/Directionality of the Earth's Reflectance-1,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
POLDER-2,Polarization/Directionality of the Earth's Reflectance-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
POLDER-P,POLarization and Directionality of the Earth's Reflectances (PARASOL version),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Multiple direction/polarisation radiometers,Multi-channel/direction/polarisation radiometer,"Measures polarisation, and directional and spectral characteristics of the solar light reflected by aerosols, clouds, oceans and land surfaces.","VIS - NIR: 0.490 µm, 0.670 µm and 0.865 µm at 3 polarisations, and 0.49 µm, 0.565 µm, 0.763 µm, 0.765 µm, 0.91 µm, and 1.02 µm with no polarisation","VIS, NIR",5.5 x 5.5 km,,1600 km,"Radiation budget, land surface, Reflectance: 2%",,
POLSCAT,Polarimetric Ku-Band Scatterometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Scatterometers,,,,,,,,,,,,,,
POROMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
PORTOS,Radiometer Hyper-frequence Multi-frequence,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
POSEIDON-2,JASON-1 RADAR ALTIMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
POSEIDON-3,JASON-2 RADAR ALTIMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
POSEIDON-3,Positioning Ocean Solid Earth Ice Dynamics Orbiting Navigator (Single frequency solid state radar altimeter),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Radar altimeters,Radar altimeter,"Nadir viewing sounding radar for provision of real-time high precision sea surface topography, ocean circulation and wave height data.","Microwave: Ku-band (13.575 GHz), C-band (5.3 GHz)","MW, Ku-Band, C-Band","Basic measurement: 1/sec (6 km along track), Raw measurement: 10/sec (600 m along track)",,On baseline TOPEX/POSEIDON orbit (10 day cycle): 300 km between tracks at equator,"Sea level: 3.9 cm, Significant wave height: 0.5 m, Horizontal sea surface wind speed: 2 m/s",,NetCDF
POSEIDON-3B Altimeter,Positioning Ocean Solid Earth Ice Dynamics Orbiting Navigator (Single frequency solid state radar altimeter),CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Radar altimeters,Radar altimeter,"Nadir viewing sounding radar for provision of real-time high precision sea surface topography, ocean circulation and wave height data.","Microwave: Ku-band (13.575 GHz), C-band (5.3 GHz)",,"Basic measurement: 1/sec (6 km along track), Raw measurement: 20/sec (300 m along track)",,On baseline TOPEX/POSEIDON orbit (10 day cycle): 300 km between tracks at equator,"Sea level: 3.4 cm, Significant wave height: 0.4 m, Horizontal sea surface wind speed: 1.5 m/s",,
POSS,Precipitation Occurrence Sensor System,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
POSSSUM,Profiler Of Snow Specific Surface area Using SWIR reflectance Measurement,GCMD Instruments - Revision: 2014-08-28 16:20:21,Spectrometers/Radiometers,,,,,,,,,,,,,,,
PR,Precipitation Radar,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,"JAXA (NICT, NASA)",Operational,Cloud profile and rain radars,Cloud and precipitation radar,Measures precipitation rate in tropical latitudes.,Microwave: 13.796 GHz and 13.802 GHz,MW,Range resolution: 250 m Horizontal resolution: 4.3 km at nadir (post-boost: 5 km),,215 km (post-boost: 245 km) Observable range: from surface to approx 15 km altitude,Rainfall rate 0.7 mm/h at storm top,Open Access,HDF-EOS(HDF4)
PR,TRMM Precipitation Radar,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
PRARE,Precise Range and Range-Rate Equipment,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
PREMOS,PREcision Monitoring of Solar Variability,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,CNES,Operational,Earth radiation budget radiometers,Solar irradiance monitor,Solar UV and visible flux in selected wavelength bands.,"UV: 230 nm, 311 nm, 402 nm; VIS: 548 nm","UV, VIS",,,,,,
PRESSURE CHAMBERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRESSURE GAUGES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRESSURE JUMP DETECTOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRESSURE PROBE,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRESSURE SENSORS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRESSURE TRANSDUCERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Pressure/Height Meters,,,,,,,,,,,,,,,
PRISM,Panchromatic Remote-sensing Instrument for Stereo Mapping,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
PRISM-2 (ALOS-3),Panchromatic Remote-sensing Instrument for Stereo Mapping-2,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JAXA,Proposed,High resolution optical imagers,High resolution optical imager,"Stereo imaging with high resolution and wide swath by panchromatic band for disaster monitoring, global mapping and so on.",VIS - NIR: 0.52-0.77 µm,VIS,GSD : 0.8m(nadir),,50km,,No Access,CEOS superstructure and GeoTiFF
PROBA.CHRIS.1A,PROBA CHRIS Level 1A,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
PROBES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Probes,,,,,,,,,,,,,,,
PROFILERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
PROTON MAGNETOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,
PRT,Precision Radiation Thermometers,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermometers,,,,,,,,,,,,,,
PSR,Polarimetric Scanning Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
PSS,Panchromatic imaging system,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,ROSKOSMOS (ROSHYDROMET),Operational,High resolution optical imagers,High resolution optical imager,"Panchromatic data for environmental monitoring, agriculture and forestry.",0.5 - 0.8 µm,"VIS, NIR",2.5 m,2.5,20 km,,Very Constrained Access,
PSYCHROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,,,,,,,,,,,,,,,
PTGA,Propeller Type Generating Anemovane,GCMD Instruments - Revision: 2014-08-28 16:20:21,Current/Wind Meters,,,,,,,,,,,,,,,
PTR-MS,Proton Transfer Mass Spectrometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Particle Detectors,,,,,,,,,,,,,,,
PVI, Precipitation Video Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
PWI,Plasma Waves Investigation (Geotail),GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
PWI-P,Plasma Waves Investigation (Polar),GCMD Instruments - Revision: 2014-08-28 16:20:21,Magnetic Field/Electric Field Instruments,,,,,,,,,,,,,,,
PXRI,Pinhole X-ray Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,X-Ray/Gamma Ray Detectors,,,,,,,,,,,,,,,
PYRANOGRAPHS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
PYRANOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
PYRGEOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
PYRHELIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
PYROMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Pyrometers,,,,,,,,,,,,,,
PYRRADIOMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Thermal/Radiation Detectors,,,,,,,,,,,,,,
QUADRATS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Samplers,,,,,,,,,,,,,,,
QUARTZ CRYSTAL THERMOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Temperature/Humidity Sensors,Thermometers,,,,,,,,,,,,,,
QUICKBIRD/BHRC-60,Quickbird Ball High Resolution Camera 60,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Cameras,,,,,,,,,,,,,
RA,ERS Radar Altimeter,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
RA-2,Radar Altimeter-2,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
RAD,Microwave radiometer,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,NSOAS,Operational,Imaging multi-spectral radiometers (passive microwave),Multi-purpose imaging MW radiometer,Ocean wind and temperature measurements.,"6.6 GHz, 10.7 GHz, 18.7 GHz, 23.8 GHz, 37.0 GHz",MW,"100 km, 62 km, 36 km, 30 km, 18 km",,1600 km,1 K,,
RAD GAUGE,Ram Atmosphere Density Gauge,GCMD Instruments - Revision: 2014-08-28 16:20:21,Gauges,,,,,,,,,,,,,,,
RADAR,Radio Detection and Ranging,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
RADAR ALTIMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Radar Altimeters,,,,,,,,,,,,,
RADAR ECHO SOUNDERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Profilers/Sounders,Radar Sounders,,,,,,,,,,,,,
RADIO BURST RECEIVERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,Radio,,,,,,,,,,,,,
RADIO TELESCOPES,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Radio Wave Detectors,,,,,,,,,,,,,,,
RADIO TRANSPONDERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Positioning/Navigation,,,,,,,,,,,,,,
