Instrument Name Short,Instrument Name Full,Source,Class,Type,Subtype,Instrument Agencies,Instrument Status,Instrument Type,Instrument Technology,Measurements & applications,Wavebands,Waveband Categories,Spatial Resolution,Spatial Resolution Best,Swath Width,Accuracy,Data Access,Data Format
AHI,Advanced Himawari Imager,CEOS_MIMDB_InstrumentTableExport_20140904-052345.xls,,,,JMA,Being developed,Imaging multi-spectral radiometers (vis/IR),Multi-purpose imaging Vis/IR radiometer,"Measures cloud cover, cloud motion, cloud height, cloud properties, water vapour, rainfalll, sea surface temperatures and Earth radiation, dust, aerosols, volcanic ash, fires, snow and ice cover.","16 bands in VIS, NIR and IR ranging from 0.46 µm to 13.3 µm VIS (~0.40 µm - ~0.75 µm) NIR (~0.75 µm - ~1.3 µm) SWIR (~1.3 µm - ~3.0 µm) MWIR (~3.0 µm - ~6.0 µm) TIR (~6.0 µm - ~15.0 µm)","VIS, NIR, SWIR, MWIR, TIR","0.5 km in 0.64 µm band; 1.0km in 0.46 µm, 0.51 µm and 0.86 µm band, 2.0 km in all others",500,Full Earth disk and several reserved sectors every 10 minutes,,Constrained Access,TBD
AIA-SDO,Atmospheric Imaging Assembly on Solar Dynamics Observatory,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
AIMR,Airborne Imaging Microwave Radiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AIR PERMEAMETERS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Chemical Meters/Analyzers,,,,,,,,,,,,,,,
AIR-ION,AIR-ION SPECTROMETER,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Spectrometers/Radiometers,Lidar/Laser Spectrometers,,,,,,,,,,,,,
AIRBORNE LASER SCANNER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Active Remote Sensing,Altimeters,Lidar/Laser Altimeters,,,,,,,,,,,,,
AIRBORNE TRACKING SUNPHOTOMETER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Photon/Optical Detectors,Photometers,,,,,,,,,,,,,
AIRGLOW SENSOR,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
AIRGLOW/AURORA IMAGER,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Photon/Optical Detectors,,,,,,,,,,,,,,,
AIRGUN ARRAYS,,GCMD Instruments - Revision: 2014-08-28 16:20:21,Profilers/Sounders,,,,,,,,,,,,,,,
AIRMISR,Airborne Multi-angle Imaging SpectroRadiometer,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
AIRMSPI,Airborne Multiangle SpectroPolarimetric Imager,GCMD Instruments - Revision: 2014-08-28 16:20:21,Passive Remote Sensing,Spectrometers/Radiometers,Imaging Spectrometers/Radiometers,,,,,,,,,,,,,
